n_tasks,method,trial,mean_missed_priority,mean_unassigned_count,conditions
50,basic,0,52.6,25.0,15
50,basic,100,1.9333333333333333,0.8666666666666667,15
50,basic,200,1.8,0.8,15
50,basic,300,1.7333333333333334,0.8,15
50,basic,400,1.6666666666666667,0.8666666666666667,15
50,basic,500,1.6666666666666667,0.8666666666666667,15
50,basic,600,1.6,0.8,15
50,basic,700,1.6,0.8,15
50,basic,800,1.6,0.8,15
50,basic,900,1.5333333333333334,0.8,15
50,basic,1000,1.4,0.8,15
50,basic,1100,1.4,0.8,15
50,basic,1200,1.4,0.8,15
50,agent,0,52.6,25.0,15
50,agent,100,1.9333333333333333,1.0666666666666667,15
50,agent,200,1.8,0.9333333333333333,15
50,agent,300,1.6666666666666667,0.9333333333333333,15
50,agent,400,1.1333333333333333,0.6666666666666666,15
50,agent,500,0.6666666666666666,0.6,15
50,agent,600,0.6666666666666666,0.5333333333333333,15
50,agent,700,0.5333333333333333,0.4666666666666667,15
50,agent,800,0.5333333333333333,0.4666666666666667,15
50,agent,900,0.5333333333333333,0.4666666666666667,15
50,agent,1000,0.5333333333333333,0.4666666666666667,15
50,agent,1100,0.5333333333333333,0.4666666666666667,15
50,agent,1200,0.5333333333333333,0.4666666666666667,15
100,basic,0,103.0,50.0,15
100,basic,100,5.0,3.4,15
100,basic,200,4.133333333333334,2.6,15
100,basic,300,4.0,2.4,15
100,basic,400,3.6666666666666665,2.4,15
100,basic,500,3.1333333333333333,2.2,15
100,basic,600,2.8,2.066666666666667,15
100,basic,700,2.8,2.066666666666667,15
100,basic,800,2.6666666666666665,1.9333333333333333,15
100,basic,900,2.6,1.8666666666666667,15
100,basic,1000,2.6,1.8666666666666667,15
100,basic,1100,2.6,1.8666666666666667,15
100,basic,1200,2.6,1.8666666666666667,15
100,agent,0,103.0,50.0,15
100,agent,100,3.7333333333333334,2.466666666666667,15
100,agent,200,3.2666666666666666,2.2666666666666666,15
100,agent,300,2.6666666666666665,1.8666666666666667,15
100,agent,400,2.466666666666667,1.8,15
100,agent,500,2.3333333333333335,1.6666666666666667,15
100,agent,600,2.0,1.4666666666666666,15
100,agent,700,1.9333333333333333,1.4,15
100,agent,800,1.9333333333333333,1.4,15
100,agent,900,1.8666666666666667,1.3333333333333333,15
100,agent,1000,1.8,1.2,15
100,agent,1100,1.4666666666666666,1.0666666666666667,15
100,agent,1200,1.2,0.8666666666666667,15
300,basic,0,308.0,150.0,15
300,basic,100,20.733333333333334,10.4,15
300,basic,200,14.0,7.933333333333334,15
300,basic,300,11.333333333333334,6.733333333333333,15
300,basic,400,10.2,6.2,15
300,basic,500,9.2,5.533333333333333,15
300,basic,600,8.933333333333334,5.4,15
300,basic,700,8.6,5.133333333333334,15
300,basic,800,8.133333333333333,4.866666666666666,15
300,basic,900,7.533333333333333,4.533333333333333,15
300,basic,1000,7.4,4.466666666666667,15
300,basic,1100,7.0,4.133333333333334,15
300,basic,1200,6.866666666666666,4.066666666666666,15
300,agent,0,308.0,150.0,15
300,agent,100,12.266666666666667,7.2,15
300,agent,200,7.2,4.8,15
300,agent,300,6.4,4.533333333333333,15
300,agent,400,5.333333333333333,4.2,15
300,agent,500,4.8,3.7333333333333334,15
300,agent,600,4.733333333333333,3.466666666666667,15
300,agent,700,4.333333333333333,3.2666666666666666,15
300,agent,800,4.2,3.1333333333333333,15
300,agent,900,4.133333333333334,3.066666666666667,15
300,agent,1000,4.0,3.0,15
300,agent,1100,3.8666666666666667,3.0,15
300,agent,1200,3.7333333333333334,2.8666666666666667,15
