case_id,maturity,size,seed,initial_fraction,outcome,level,service_outcome,basic_L1,basic_L2,basic_L3,agent_L1,agent_L2,agent_L3,same_service,same_tasks,energy_reduction_pct
test_T50_s6800,M10,50,6800,0.1,W,1,W,9.0,4,30298.371615904212,5.0,3.0,27425.80338719831,False,False,
test_T50_s6800,M50,50,6800,0.5,W,1,W,3.0,1,29765.28893049737,0.0,0.0,34686.175510864814,False,False,
test_T50_s6800,M90,50,6800,0.9,T,0,T,0,0,34686.17551086482,0.0,0.0,34686.175510864814,True,True,2.0976534619402948e-14
test_T50_s6801,M10,50,6801,0.1,W,1,W,6.0,4,26305.158052523468,0.0,0.0,33179.41923453416,False,False,
test_T50_s6801,M50,50,6801,0.5,T,0,T,0,0,33179.41923453416,0.0,0.0,33179.41923453416,True,True,0.0
test_T50_s6801,M90,50,6801,0.9,T,0,T,1.0,1,28419.703359476604,1.0,1.0,28419.70335947661,True,True,-2.560180703560104e-14
test_T50_s6802,M10,50,6802,0.1,W,3,T,0,0,30748.803787033514,0.0,0.0,27623.9529995256,True,True,10.162511716392794
test_T50_s6802,M50,50,6802,0.5,W,3,T,0,0,35146.72875449416,0.0,0.0,30727.185817446563,True,True,12.574549876089034
test_T50_s6802,M90,50,6802,0.9,W,3,T,0,0,35781.32228402298,0.0,0.0,30727.185817446563,True,True,14.125069013542802
test_T50_s6803,M10,50,6803,0.1,L,3,T,0,0,29205.91016313711,0.0,0.0,30556.88761404144,True,True,-4.625698851219153
test_T50_s6803,M50,50,6803,0.5,L,1,L,0,0,30556.887614041447,1.0,2.0,27273.765898939113,False,False,
test_T50_s6803,M90,50,6803,0.9,T,0,T,0,0,30556.887614041447,0.0,0.0,30556.88761404144,True,True,2.3811186878993498e-14
test_T50_s6804,M10,50,6804,0.1,W,1,W,2.0,2,28133.9315263804,1.0,1.0,28764.143281061995,False,False,
test_T50_s6804,M50,50,6804,0.5,W,3,T,0,0,29921.086283490702,0.0,0.0,28004.991291980656,True,True,6.403828301405198
test_T50_s6804,M90,50,6804,0.9,W,3,T,0,0,28959.014450842024,0.0,0.0,28004.991291980656,True,True,3.2943909761874797
test_T100_s6800,M10,100,6800,0.1,W,1,W,9.0,6,49055.21530537975,7.0,4.0,51722.03983068866,False,False,
test_T100_s6800,M50,100,6800,0.5,L,1,L,1.0,1,61108.2698353553,3.0,2.0,58472.995728534705,False,False,
test_T100_s6800,M90,100,6800,0.9,W,3,T,0,0,64632.59299681253,0.0,0.0,63170.69570788559,True,True,2.261857711633249
test_T100_s6801,M10,100,6801,0.1,W,1,W,3.0,2,52923.50392101823,1.0,1.0,52494.81184241802,False,False,
test_T100_s6801,M50,100,6801,0.5,W,1,W,1.0,1,57563.484151934725,0.0,0.0,58511.76739538021,False,False,
test_T100_s6801,M90,100,6801,0.9,L,3,T,0,0,57650.9529067318,0.0,0.0,60000.41764413394,True,True,-4.0753268054443454
test_T100_s6802,M10,100,6802,0.1,W,1,W,5.0,3,56564.15812907918,2.0,3.0,55769.61736099885,False,False,
test_T100_s6802,M50,100,6802,0.5,W,3,T,1.0,1,54684.0217429418,1.0,1.0,54415.22312677932,True,False,0.49154873324066356
test_T100_s6802,M90,100,6802,0.9,W,1,W,1.0,1,52459.65239446034,0.0,0.0,56780.95169345463,False,False,
test_T100_s6803,M10,100,6803,0.1,W,3,T,2.0,1,56357.082400573025,2.0,1.0,54319.247560940734,True,True,3.6159338859095564
test_T100_s6803,M50,100,6803,0.5,L,1,L,1.0,1,57232.57975813003,2.0,1.0,53023.374103076414,False,False,
test_T100_s6803,M90,100,6803,0.9,T,0,T,0,0,57107.88551476046,0.0,0.0,57107.885514760426,True,True,6.37036159595056e-14
test_T100_s6804,M10,100,6804,0.1,W,1,W,9.0,7,44507.28018864931,0.0,0.0,50180.807474365625,False,False,
test_T100_s6804,M50,100,6804,0.5,W,1,W,4.0,3,48574.4355552203,0.0,0.0,49590.82306889647,False,False,
test_T100_s6804,M90,100,6804,0.9,W,1,W,2.0,1,51130.32245359837,0.0,0.0,52798.02203527126,False,False,
test_T300_s6800,M10,300,6800,0.1,W,1,W,25.0,12,158110.22619202823,0.0,1.0,181838.75224821837,False,False,
test_T300_s6800,M50,300,6800,0.5,W,1,W,7.0,4,160738.32928077207,0.0,1.0,183291.6434516754,False,False,
test_T300_s6800,M90,300,6800,0.9,L,3,T,0,0,183622.21360751367,0.0,0.0,189887.73968057605,True,True,-3.4121830632402337
test_T300_s6801,M10,300,6801,0.1,W,1,W,16.0,11,157981.98367120256,8.0,5.0,154245.20317100006,False,False,
test_T300_s6801,M50,300,6801,0.5,W,1,W,9.0,5,161294.5587248761,3.0,4.0,164951.0716099265,False,False,
test_T300_s6801,M90,300,6801,0.9,L,3,T,0,0,162988.60867919476,0.0,0.0,164289.49590845016,True,True,-0.7981461034592271
test_T300_s6802,M10,300,6802,0.1,L,1,L,9.0,6,152676.46460971996,12.0,9.0,152057.87386748166,False,False,
test_T300_s6802,M50,300,6802,0.5,W,3,T,1.0,1,159190.80738069848,1.0,1.0,156985.22452009167,True,True,1.3854963718679096
test_T300_s6802,M90,300,6802,0.9,W,3,T,0,0,171786.27846028778,0.0,0.0,167812.78396131858,True,True,2.313045334344188
